Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
lafU	lafU	[TU0-12852 250,072 &rarr; 250,827]	756	+
lapAB	lapA // lapB	[lapAB 1,340,243 &rarr; 1,341,727]	1485	+
lapAB	lapA // lapB	[lapAB 1,340,243 &rarr; 1,341,727]	1485	+
ldcA	ldcA	[TU0-13175 1,242,166 &larr; 1,243,080]	915	-
ldcC	ldcC	[ldcC 209,679 &rarr; 211,820]	2142	+
ldhA	ldhA	[ldhA 1,441,854 &larr; 1,442,843]	990	-
ldrA	ldrA	[ldrA 1,269,168 &larr; 1,269,275]	108	-
ldrB	ldrB	[ldrB 1,269,703 &larr; 1,269,810]	108	-
ldrC	ldrC	[ldrC 1,270,238 &larr; 1,270,345]	108	-
ldrD	ldrD	[ldrD 3,699,980 &larr; 3,700,087]	108	-
ldtA	ldtA	[TU0-13478 2,062,391 &larr; 2,063,323]	933	-
ldtB	ldtB	[ldtB 854,824 &larr; 855,744]	921	-
ldtC	ldtC	[ldtC 1,169,412 &larr; 1,170,374]	963	-
ldtD	ldtD	[ldtD 981,047 &rarr; 982,894]	1848	+
ldtE	ldtE	[TU0-13366 1,757,721 &larr; 1,758,725]	1005	-
ldtF	ldtF	[TU0-12848 245,065 &larr; 245,805]	741	-
lepAB	lepA // lepB	[lepAB 2,704,335 &larr; 2,707,124]	2790	-
leuE	leuE	[leuE 1,880,121 &larr; 1,880,759]	639	-
leuL	leuL	[leuL 83,622 &larr; 83,708]	87	-
leuLABCD	leuD // leuL // leuB // leuA // leuC	[leuLABCD 78,848 &larr; 83,708]	4861	-
leuLABCD	leuD // leuL // leuB // leuA // leuC	[leuLABCD 78,848 &larr; 83,708]	4861	-
leuO	leuO	[leuO 84,368 &rarr; 85,312]	945	+
leuO	leuO	[leuO 84,368 &rarr; 85,312]	945	+
leuO	leuO	[leuO 84,368 &rarr; 85,312]	945	+
leuO	leuO	[leuO 84,368 &rarr; 85,312]	945	+
leuQPV	leuQ // leuV // leuP	[leuQPV 4,606,079 &larr; 4,606,401]	323	-
leuS // lptE // holA // nadD // cobC	lptE // holA // leuS // cobC // nadD	[TU0-13010 669,296 &larr; 674,783]	5488	-
leuU	leuU	[leuU 3,322,072 &larr; 3,322,158]	87	-
leuV	leuV	[leuV 4,606,079 &larr; 4,606,165]	87	-
leuX	leuX	[leuX 4,496,405 &rarr; 4,496,489]	85	+
lexA-dinF	lexA // dinF	[lexA-dinF 4,257,115 &rarr; 4,259,121]	2007	+
lfhA	lfhA	[TU0-14247 248,358 &larr; 250,070]	1713	-
lgoR	lgoR	[lgoR 4,594,937 &larr; 4,595,851]	915	-
lgoT	lgoT	[TU0-14210 4,593,361 &larr; 4,594,722]	1362	-
lgt	lgt	[lgt 2,965,162 &larr; 2,966,037]	876	-
lgt-thyA	lgt // thyA	[lgt-thyA 2,964,361 &larr; 2,966,037]	1677	-
lhr	lhr	[lhr 1,729,087 &rarr; 1,733,703]	4617	+
ligA-ypeB	ligA // ypeB	[ligA-ypeB 2,527,941 &larr; 2,530,176]	2236	-
ligB	ligB	[ligB 3,819,488 &larr; 3,821,170]	1683	-
ligT	thpR	[ligT 161,501 &larr; 162,031]	531	-
lipA	lipA	[lipA 659,251 &larr; 660,216]	966	-
lipB	lipB	[TU0-13006 661,637 &larr; 662,278]	642	-
lit	lit	[lit 1,198,695 &rarr; 1,199,588]	894	+
livJ	livJ	[livJ 3,598,555 &larr; 3,599,658]	1104	-
livKHMGF	livG // livF // livH // livM // livK	[livKHMGF 3,592,724 &larr; 3,597,560]	4837	-
livKHMGF	livG // livF // livH // livM // livK	[livKHMGF 3,592,724 &larr; 3,597,560]	4837	-
lldPRD	lldP // lldD // lldR	[lldPRD 3,777,399 &rarr; 3,781,017]	3619	+
lolA-rarA	rarA // lolA	[lolA-rarA 937,372 &rarr; 939,337]	1966	+
lolB-ispE-prs	prs // ispE // lolB	[lolB-ispE-prs 1,260,928 &larr; 1,263,500]	2573	-
lolE // lolD // lolC	lolD // lolE // lolC	[TU0-13141 1,175,427 &rarr; 1,178,564]	3138	+
lon	lon	[lon 458,888 &rarr; 461,242]	2355	+
lpdA	lpd	[lpdA 127,912 &rarr; 129,336]	1425	+
lpp	lpp	[lpp 1,757,421 &rarr; 1,757,657]	237	+
lpp	lpp	[lpp 1,757,421 &rarr; 1,757,657]	237	+
lptAB	lptB // lptA	[lptAB 3,343,380 &rarr; 3,344,669]	1290	+
lptAB	lptB // lptA	[lptAB 3,343,380 &rarr; 3,344,669]	1290	+
lptB-rpoN-hpf-ptsN-yhbJ	rpoN // rapZ // hpf // ptsN // lptB	[lptB-rpoN-hpf-ptsN-yhbJ 3,343,944 &rarr; 3,347,969]	4026	+
lptG // lptF	lptF // lptG	[TU0-14176 4,486,218 &rarr; 4,488,400]	2183	+
lpxC	lpxC	[lpxC 106,557 &rarr; 107,474]	918	+
lpxC	lpxC	[lpxC 106,557 &rarr; 107,474]	918	+
lpxD	lpxD	[lpxD 200,971 &rarr; 201,996]	1026	+
lpxL	lpxL	[lpxL 1,115,662 &larr; 1,116,582]	921	-
lpxM	lpxM	[TU0-13441 1,939,222 &larr; 1,940,193]	972	-
lpxP	lpxP	[lpxP 2,495,645 &rarr; 2,496,565]	921	+
lpxT	lpxT	[lpxT 2,268,854 &rarr; 2,269,567]	714	+
lrhA	lrhA	[lrhA 2,405,703 &larr; 2,406,641]	939	-
lrp	lrp	[lrp 932,595 &rarr; 933,089]	495	+
lsp-fkpB-ispH	fkpB // lspA // ispH	[lsp-fkpB-ispH 25,207 &rarr; 27,227]	2021	+
lsrACDBFG-tam	lsrG // lsrF // lsrA // lsrD // lsrC // lsrB // tam	[lsrACDBFG-tam 1,601,490 &rarr; 1,608,104]	6615	+
lsrK	lsrK	[lsrK 1,598,617 &larr; 1,600,209]	1593	-
lsrRK	lsrK // lsrR	[lsrRK 1,598,617 &larr; 1,601,241]	2625	-
ltaE-ybjT	ltaE // ybjT	[ltaE-ybjT 906,852 &larr; 909,294]	2443	-
luxS	luxS	[luxS 2,814,218 &larr; 2,814,733]	516	-
luxS	luxS	[luxS 2,814,218 &larr; 2,814,733]	516	-
lysA	lysA	[lysA 2,977,637 &larr; 2,978,899]	1263	-
lysC	lysC	[lysC 4,231,884 &larr; 4,233,233]	1350	-
lysC	lysC	[lysC 4,231,884 &larr; 4,233,233]	1350	-
lysO	lysO	[lysO 913,958 &larr; 914,857]	900	-
lysP	lysP	[lysP 2,247,063 &larr; 2,248,532]	1470	-
lysQ terminator (TERM0-1234) // lysQ terminator (TERM0-1233) // lysQ	lysQ	[TU0-13036 781,577 &rarr; 781,652]	76	+
lysR	lysR	[lysR 2,979,021 &rarr; 2,979,956]	936	+
lysT-valT-lysW	lysT // lysW // valT	[lysT-valT-lysW 780,554 &rarr; 780,918]	365	+
lysU	lysU	[lysU 4,353,200 &larr; 4,354,717]	1518	-
lysU	lysU	[lysU 4,353,200 &larr; 4,354,717]	1518	-
lysZ	lysZ	[TU0-13035 781,369 &rarr; 781,444]	76	+
maa	maa	[TU0-12942 479,367 &larr; 479,918]	552	-
macAB	macB // macA	[macAB 919,235 &rarr; 922,293]	3059	+
macB	macB	[macB 920,347 &rarr; 922,293]	1947	+
macB	macB	[macB 920,347 &rarr; 922,293]	1947	+
maeA	maeA	[TU0-13287 1,553,972 &larr; 1,555,669]	1698	-
maeB	maeB	[TU0-13637 2,576,098 &larr; 2,578,377]	2280	-
mak	mak	[mak 410,144 &rarr; 411,052]	909	+
malEFG	malF // malG // malE	[malEFG 4,242,626 &larr; 4,246,419]	3794	-
malI	malI	[malI 1,698,152 &larr; 1,699,180]	1029	-
malK-lamB-malM	malK // malM // lamB	[malK-lamB-malM 4,246,784 &rarr; 4,250,474]	3691	+
malPQ	malQ // malP	[malPQ 3,547,986 &larr; 3,552,473]	4488	-
malQ	malQ	[malQ 3,547,986 &larr; 3,550,070]	2085	-
malS	malS	[malS 3,737,497 &rarr; 3,739,527]	2031	+
malT	malT	[malT 3,553,085 &rarr; 3,555,790]	2706	+
malXY	malY // malX	[malXY 1,699,355 &rarr; 1,702,129]	2775	+
malY	malY	[malY 1,700,957 &rarr; 1,702,129]	1173	+
malZ	malZ	[malZ 422,518 &rarr; 424,332]	1815	+
manA	manA	[manA 1,688,576 &rarr; 1,689,751]	1176	+
manXYZ	manY // manX // manZ	[manXYZ 1,902,048 &rarr; 1,904,746]	2699	+
map // glnD // dapD	map // glnD // dapD	[TU0-12827 185,123 &larr; 189,506]	4384	-
marC	marC	[marC 1,618,243 &larr; 1,618,908]	666	-
marRAB	marA // marR // marB	[marRAB 1,619,120 &rarr; 1,620,207]	1088	+
matP	matP	[matP 1,018,485 &rarr; 1,018,937]	453	+
mazEFG	mazF // mazE // mazG	[mazEFG 2,909,894 &larr; 2,911,339]	1446	-
mazEFG	mazF // mazE // mazG	[mazEFG 2,909,894 &larr; 2,911,339]	1446	-
mcaS	mcaS	[mcaS 1,405,659 &larr; 1,405,751]	93	-
mcbA	mcbA	[mcbA 841,796 &larr; 842,056]	261	-
mcbR	mcbR	[TU0-13273 1,520,262 &rarr; 1,520,927]	666	+
mcrA	mcrA	[TU0-13154 1,210,346 &rarr; 1,211,179]	834	+
mcrBC	mcrC // mcrB	[mcrBC 4,576,912 &larr; 4,579,337]	2426	-
mdaB	mdaB	[TU0-13835 3,172,530 &rarr; 3,173,111]	582	+
mdh	mdh	[mdh 3,383,330 &larr; 3,384,268]	939	-
mdh	mdh	[mdh 3,383,330 &larr; 3,384,268]	939	-
mdlB // mdlA	mdlB // mdlA	[TU0-12937 468,871 &rarr; 472,417]	3547	+
mdoC	opgC	[mdoC 1,107,784 &larr; 1,108,941]	1158	-
mdoGH	opgH // opgG	[mdoGH 1,109,335 &rarr; 1,113,406]	4072	+
mdoGH	opgH // opgG	[mdoGH 1,109,335 &rarr; 1,113,406]	4072	+
mdtABCD-baeSR	baeR // baeS // mdtA // mdtD // mdtC // mdtB	[mdtABCD-baeSR 2,154,016 &rarr; 2,164,998]	10983	+
mdtEF	mdtF // mdtE	[mdtEF 3,659,232 &rarr; 3,663,527]	4296	+
mdtEF	mdtF // mdtE	[mdtEF 3,659,232 &rarr; 3,663,527]	4296	+
mdtEF	mdtF // mdtE	[mdtEF 3,659,232 &rarr; 3,663,527]	4296	+
mdtG	mdtG	[TU0-13125 1,114,264 &larr; 1,115,490]	1227	-
mdtH	mdtH	[TU0-13131 1,124,118 &larr; 1,125,326]	1209	-
mdtJI	mdtI // mdtJ	[mdtJI 1,672,820 &larr; 1,673,501]	682	-
mdtK	mdtK	[mdtK 1,743,457 &rarr; 1,744,830]	1374	+
mdtL	mdtL	[TU0-14022 3,891,615 &rarr; 3,892,790]	1176	+
mdtM // yjiN	yjiN // mdtM	[TU0-14203 4,565,966 &larr; 4,568,519]	2554	-
mdtN // mdtO // mdtP	mdtP // mdtN // mdtO	[TU0-14128 4,299,564 &larr; 4,304,109]	4546	-
mdtQ	mdtQ	[TU0-13532 2,227,323 &larr; 2,228,758]	1436	-
melAB	melA // melB	[melAB 4,341,911 &rarr; 4,344,790]	2880	+
melR	melR	[melR 4,340,720 &larr; 4,341,628]	909	-
menA-rraA	rraA // menA	[menA-rraA 4,118,845 &larr; 4,120,349]	1505	-
menA-rraA	rraA // menA	[menA-rraA 4,118,845 &larr; 4,120,349]	1505	-
menBCE	menB // menE // menC	[menBCE 2,373,648 &larr; 2,376,819]	3172	-
menD-yfbB-menBCE	menB // menE // menD // menC // menH	[menD-yfbB-menBCE 2,373,648 &larr; 2,379,259]	5612	-
menFD-yfbB-menBCE	menB // menE // menD // menF // menC // menH	[menFD-yfbB-menBCE 2,373,648 &larr; 2,380,643]	6996	-
mepH	mepH	[mepH 1,734,435 &rarr; 1,735,250]	816	+
mepK-gloC	mepK // gloC	[mepK-gloC 983,075 &rarr; 984,297]	1223	+
mepS	mepS	[mepS 2,269,979 &rarr; 2,270,545]	567	+
mepS	mepS	[mepS 2,269,979 &rarr; 2,270,545]	567	+
metA	metA	[metA 4,214,280 &rarr; 4,215,209]	930	+
metA	metA	[metA 4,214,280 &rarr; 4,215,209]	930	+
metBL	metB // metL	[metBL 4,128,672 &rarr; 4,132,267]	3596	+
metC	metC	[metC 3,152,236 &rarr; 3,153,423]	1188	+
metE	metE	[metE 4,013,053 &rarr; 4,015,314]	2262	+
metF	metF	[metF 4,132,616 &rarr; 4,133,506]	891	+
metG	metG	[metG 2,194,300 &rarr; 2,196,333]	2034	+
metG	metG	[metG 2,194,300 &rarr; 2,196,333]	2034	+
metH	metH	[metH 4,223,828 &rarr; 4,227,511]	3684	+
metH	metH	[metH 4,223,828 &rarr; 4,227,511]	3684	+
metJ	metJ	[metJ 4,128,078 &larr; 4,128,395]	318	-
metJ	metJ	[metJ 4,128,078 &larr; 4,128,395]	318	-
metJ	metJ	[metJ 4,128,078 &larr; 4,128,395]	318	-
metK	metK	[metK 3,086,706 &rarr; 3,087,860]	1155	+
metNIQ	metN // metI // metQ	[metNIQ 220,113 &larr; 222,645]	2533	-
metR	metR	[metR 4,011,863 &larr; 4,012,816]	954	-
metR	metR	[metR 4,011,863 &larr; 4,012,816]	954	-
metT-leuW-glnUW-metU-glnVX	metU // glnW // leuW // metT // glnV // glnU // glnX	[metT-leuW-glnUW-metU-glnVX 696,430 &larr; 697,133]	704	-
metY	metY	[metY 3,318,213 &larr; 3,318,289]	77	-
metY	metY	[metY 3,318,213 &larr; 3,318,289]	77	-
metY-yhbC-nusA-infB	nusA // metY // infB // rimP	[metY-yhbC-nusA-infB 3,313,342 &larr; 3,318,289]	4948	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	truB // nusA // metY // rbfA // rpsO // infB // rimP // pnp	[metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp 3,309,033 &larr; 3,318,289]	9257	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	truB // nusA // metY // rbfA // rpsO // infB // rimP // pnp	[metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp 3,309,033 &larr; 3,318,289]	9257	-
metZWV	metZ // metV // metW	[metZWV 2,947,387 &rarr; 2,947,683]	297	+
mfd	mfd	[mfd 1,170,518 &larr; 1,173,964]	3447	-
mfd	mfd	[mfd 1,170,518 &larr; 1,173,964]	3447	-
mglAC	mglA // mglC	[mglAC 2,236,743 &larr; 2,239,289]	2547	-
mglBAC	mglB // mglA // mglC	[mglBAC 2,236,743 &larr; 2,240,348]	3606	-
mgrB	mgrB	[mgrB 1,908,623 &larr; 1,908,766]	144	-
mgrR	mgrR	[mgrR 1,622,817 &larr; 1,622,914]	98	-
mgsA	mgsA	[mgsA 1,026,557 &larr; 1,027,015]	459	-
mgtA	mgtL // mgtA	[mgtA 4,467,431 &rarr; 4,470,321]	2891	+
mgtA	mgtL // mgtA	[mgtA 4,467,431 &rarr; 4,470,321]	2891	+
mgtS	mgtS	[mgtS 1,622,646 &rarr; 1,622,741]	96	+
mhpABCDFE	mhpA // mhpF // mhpE // mhpD // mhpC // mhpB	[mhpABCDFE 368,611 &rarr; 374,881]	6271	+
mhpR-lacI	lacI // mhpR	[mhpR-lacI 366,428 &larr; 368,420]	1993	-
mhpR-lacI	lacI // mhpR	[mhpR-lacI 366,428 &larr; 368,420]	1993	-
mhpT	mhpT	[mhpT 375,459 &rarr; 376,670]	1212	+
miaA-hfq-hflXKC	miaA // hfq // hflX // hflC // hflK	[miaA-hfq-hflXKC 4,399,252 &rarr; 4,404,304]	5053	+
miaA-hfq-hflXKC	miaA // hfq // hflX // hflC // hflK	[miaA-hfq-hflXKC 4,399,252 &rarr; 4,404,304]	5053	+
miaB	miaB	[TU0-13018 693,531 &larr; 694,955]	1425	-
micA	micA	[micA 2,814,802 &rarr; 2,814,873]	72	+
micC	micC	[micC 1,437,121 &rarr; 1,437,229]	109	+
micF	micF	[micF 2,313,084 &rarr; 2,313,176]	93	+
micL	micL	[micL 1,958,441 &larr; 1,958,520]	80	-
micL	micL	[micL 1,958,441 &larr; 1,958,520]	80	-
minCDE	minD // minE // minC	[minCDE 1,224,279 &larr; 1,226,080]	1802	-
mioC	mioC	[mioC 3,926,012 &larr; 3,926,455]	444	-
mipA	mipA	[mipA 1,865,726 &larr; 1,866,472]	747	-
mlaA	mlaA	[mlaA 2,464,252 &larr; 2,465,007]	756	-
mlaFEDCB	mlaB // mlaD // mlaC // mlaF // mlaE	[mlaFEDCB 3,336,963 &larr; 3,340,065]	3103	-
mlaFEDCB	mlaB // mlaD // mlaC // mlaF // mlaE	[mlaFEDCB 3,336,963 &larr; 3,340,065]	3103	-
mlaFEDCB	mlaB // mlaD // mlaC // mlaF // mlaE	[mlaFEDCB 3,336,963 &larr; 3,340,065]	3103	-
mlc	mlc	[mlc 1,667,344 &larr; 1,668,564]	1221	-
mlc-ynfK	ynfK // mlc	[mlc-ynfK 1,666,524 &larr; 1,668,564]	2041	-
mliC	mliC	[TU0-13354 1,718,066 &larr; 1,718,395]	330	-
mlrA	mlrA	[mlrA 2,214,866 &rarr; 2,215,597]	732	+
mltA	mltA	[TU0-13743 2,946,081 &larr; 2,947,178]	1098	-
mltB	mltB	[TU0-13719 2,824,491 &larr; 2,825,576]	1086	-
mltD	mltD	[TU0-12841 232,597 &larr; 233,955]	1359	-
mltF	mltF	[mltF 2,695,801 &rarr; 2,697,357]	1557	+
mmuM // mmuP	mmuM // mmuP	[TU0-12864 275,325 &rarr; 277,647]	2323	+
mnaT // ydcZ	mnaT // ydcZ	[TU0-13271 1,517,882 &larr; 1,518,846]	965	-
mngAB	mngB // mngA	[mngAB 765,984 &rarr; 770,611]	4628	+
mngB	mngB	[mngB 767,978 &rarr; 770,611]	2634	+
mngB	mngB	[mngB 767,978 &rarr; 770,611]	2634	+
mngR	mngR	[mngR 765,153 &larr; 765,875]	723	-
mnmA	mnmA	[mnmA 1,192,667 &larr; 1,193,773]	1107	-
mnmE	mnmE	[TU0-14021 3,886,828 &rarr; 3,888,192]	1365	+
mnmG-rsmG	rsmG // mnmG	[mnmG-rsmG 3,923,057 &larr; 3,925,633]	2577	-
mnt-btuF-yadS	btuF // yadS // mtn	[mnt-btuF-yadS 177,001 &larr; 179,153]	2153	-
mntH	mntH	[mntH 2,511,468 &larr; 2,512,706]	1239	-
mntP	mntP	[mntP 1,905,688 &rarr; 1,906,254]	567	+
mntR-ybiR	mntR // ybiR	[mntR-ybiR 853,183 &rarr; 854,765]	1583	+
moaABCDE	moaD // moaB // moaC // moaA // moaE	[moaABCDE 817,044 &rarr; 819,747]	2704	+
moaABCDE	moaD // moaB // moaC // moaA // moaE	[moaABCDE 817,044 &rarr; 819,747]	2704	+
moaBCDE	moaD // moaB // moaC // moaE	[moaBCDE 818,055 &rarr; 819,747]	1693	+
mobAB	mobB // mobA	[mobAB 4,040,906 &larr; 4,041,999]	1094	-
mobAB	mobB // mobA	[mobAB 4,040,906 &larr; 4,041,999]	1094	-
mocA	mocA	[TU0-13780 3,015,160 &rarr; 3,015,738]	579	+
modABC	modB // modA // modC	[modABC 795,089 &rarr; 797,612]	2524	+
modABC	modB // modA // modC	[modABC 795,089 &rarr; 797,612]	2524	+
modE // modF	modE // modF	[TU0-13040 792,316 &larr; 794,644]	2329	-
moeAB	moeB // moeA	[moeAB 864,380 &larr; 866,364]	1985	-
mog	mog	[TU0-12790 9,306 &rarr; 9,893]	588	+
mokB	mokB	[TU0-13256 1,491,962 &larr; 1,492,129]	168	-
mokC // hokC	hokC // mokC	[TU0-12794 16,751 &larr; 16,960]	210	-
motAB-cheAW	motB // cheA // cheW // motA	[motAB-cheAW 1,972,836 &larr; 1,977,139]	4304	-
mpaA	mpaA	[TU0-41739 1,389,870 &larr; 1,390,598]	729	-
mpaA	mpaA	[TU0-41740 1,389,870 &larr; 1,390,598]	729	-
mpl	mpl	[mpl 4,455,785 &rarr; 4,457,158]	1374	+
mpl	mpl	[mpl 4,455,785 &rarr; 4,457,158]	1374	+
mppA	mppA	[TU0-13218 1,393,227 &rarr; 1,394,840]	1614	+
mqo	mqo	[TU0-13559 2,305,108 &larr; 2,306,754]	1647	-
mqsA	mqsA	[mqsA 3,167,851 &larr; 3,168,246]	396	-
mqsA	mqsA	[mqsA 3,167,851 &larr; 3,168,246]	396	-
mqsRA	mqsR // mqsA	[mqsRA 3,167,851 &larr; 3,168,544]	694	-
mqsRA	mqsR // mqsA	[mqsRA 3,167,851 &larr; 3,168,544]	694	-
mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	rsmH // ftsW // ftsA // ftsZ // ftsQ // ftsL // lpxC // murD // murG // mraY // murC // murF // ftsI // murE // ddlB	[mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 90,094 &rarr; 107,474]	17381	+
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	rsmH // ftsW // ftsA // ftsZ // ftsQ // ftsL // lpxC // murD // murG // mraY // murC // murF // ftsI // murE // ddlB // mraZ	[mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 89,634 &rarr; 107,474]	17841	+
mrcA	mrcA	[mrcA 3,522,871 &rarr; 3,525,423]	2553	+
mrcB	mrcB	[mrcB 164,730 &rarr; 167,264]	2535	+
mreB	mreB	[mreB 3,400,044 &larr; 3,401,087]	1044	-
mreB	mreB	[mreB 3,400,044 &larr; 3,401,087]	1044	-
mreB	mreB	[mreB 3,400,044 &larr; 3,401,087]	1044	-
mreBCD	mreC // mreD // mreB	[mreBCD 3,398,387 &larr; 3,401,087]	2701	-
mreBCD	mreC // mreD // mreB	[mreBCD 3,398,387 &larr; 3,401,087]	2701	-
mreBCD	mreC // mreD // mreB	[mreBCD 3,398,387 &larr; 3,401,087]	2701	-
mreCD	mreC // mreD	[mreCD 3,398,387 &larr; 3,399,978]	1592	-
mrp	mrp	[mrp 2,193,059 &larr; 2,194,168]	1110	-
mrr	mrr	[mrr 4,586,949 &rarr; 4,587,863]	915	+
mscK	mscK	[mscK 486,536 &rarr; 489,898]	3363	+
mscL	mscL	[mscL 3,438,024 &rarr; 3,438,434]	411	+
mscS	mscS	[mscS 3,068,947 &larr; 3,069,807]	861	-
msrA	msrA	[msrA 4,441,538 &larr; 4,442,176]	639	-
msrB	msrB	[TU0-13396 1,862,016 &larr; 1,862,429]	414	-
msrB	msrB	[msrB 1,862,016 &larr; 1,862,429]	414	-
msrC	msrC	[TU0-13426 1,915,631 &larr; 1,916,128]	498	-
msrQ // msrP	msrQ // msrP	[TU0-13469 2,039,478 &rarr; 2,041,118]	1641	+
msyB	msyB	[msyB 1,113,807 &larr; 1,114,181]	375	-
mtfA	mtfA	[TU0-13471 2,043,651 &rarr; 2,044,448]	798	+
mtlADR	mtlD // mtlA // mtlR	[mtlADR 3,772,281 &rarr; 3,776,159]	3879	+
mtr	mtr	[mtr 3,304,573 &larr; 3,305,817]	1245	-
mtr	mtr	[mtr 3,304,573 &larr; 3,305,817]	1245	-
mug	mug	[mug 3,214,967 &larr; 3,215,473]	507	-
murA	murA	[TU0-13887 3,335,235 &larr; 3,336,494]	1260	-
birA // murB	birA // murB	[TU0-14099 4,172,057 &rarr; 4,174,047]	1991	+
murJ	murJ	[TU0-13132 1,127,839 &rarr; 1,129,374]	1536	+
murQP	murQ // murP	[murQP 2,545,773 &rarr; 2,548,097]	2325	+
murQP	murQ // murP	[murQP 2,545,773 &rarr; 2,548,097]	2325	+
yfeW // murP // murQ	murQ // murP // yfeW	[TU0-13625 2,545,773 &rarr; 2,549,406]	3634	+
murR	murR	[murR 2,544,752 &larr; 2,545,609]	858	-
mutH	mutH	[TU0-13747 2,969,662 &rarr; 2,970,351]	690	+
mutL-miaA-hfq-hflXKC	mutL // miaA // hfq // hflX // hflC // hflK	[mutL-miaA-hfq-hflXKC 4,397,412 &rarr; 4,404,304]	6893	+
mutL-miaA-hfq-hflXKC	mutL // miaA // hfq // hflX // hflC // hflK	[mutL-miaA-hfq-hflXKC 4,397,412 &rarr; 4,404,304]	6893	+
mutM	mutM	[mutM 3,810,343 &larr; 3,811,152]	810	-
mutM	mutM	[mutM 3,810,343 &larr; 3,811,152]	810	-
mutS	mutS	[mutS 2,857,093 &rarr; 2,859,654]	2562	+
mutY-yggX	mutY // yggX	[mutY-yggX 3,103,013 &rarr; 3,104,368]	1356	+
mutY-yggX	mutY // yggX	[mutY-yggX 3,103,013 &rarr; 3,104,368]	1356	+
mutY-yggX-mltC	mutY // mltC // yggX	[mutY-yggX-mltC 3,103,013 &rarr; 3,105,512]	2500	+
mutY-yggX-mltC	mutY // mltC // yggX	[mutY-yggX-mltC 3,103,013 &rarr; 3,105,512]	2500	+
mutY-yggX-mltC-nupG	nupG // mutY // mltC // yggX	[mutY-yggX-mltC-nupG 3,103,013 &rarr; 3,106,970]	3958	+
mutY-yggX-mltC-nupG	nupG // mutY // mltC // yggX	[mutY-yggX-mltC-nupG 3,103,013 &rarr; 3,106,970]	3958	+
mviM	yceM	[mviM 1,126,806 &rarr; 1,127,729]	924	+
nac	nac	[nac 2,061,016 &larr; 2,061,933]	918	-
nadAp // pnuC // nadA	pnuC // nadA	[TU0-13037 782,085 &rarr; 783,885]	1801	+
nadB	nadB	[nadB 2,710,420 &rarr; 2,712,042]	1623	+
nadC	nadC	[nadC 117,752 &larr; 118,645]	894	-
nadE	nadE	[nadE 1,822,458 &rarr; 1,823,285]	828	+
nadK	nadK	[TU0-13683 2,750,831 &rarr; 2,751,709]	879	+
nagA	nagA	[nagA 701,603 &larr; 702,751]	1149	-
nagBACD	umpH // nagB // nagA // nagC	[nagBACD 699,574 &larr; 703,611]	4038	-
nagC	nagC	[nagC 700,374 &larr; 701,594]	1221	-
nagC	nagC	[nagC 700,374 &larr; 701,594]	1221	-
nagE	nagE	[nagE 703,944 &rarr; 705,890]	1947	+
cobB // nagK	nagK // cobB	[TU0-13142 1,178,593 &rarr; 1,180,359]	1767	+
nanA	nanA	[nanA 3,372,683 &larr; 3,373,576]	894	-
nanATEK-yhcH	yhcH // nanA // nanT // nanE // nanK	[nanATEK-yhcH 3,369,014 &larr; 3,373,576]	4563	-
nanCM	nanC // nanM	[nanCM 4,537,659 &larr; 4,539,501]	1843	-
nanCMS	nanC // nanS // nanM	[nanCMS 4,536,614 &larr; 4,539,501]	2888	-
nanR	nanR	[TU0-13895 3,373,698 &larr; 3,374,489]	792	-
nanS	nanS	[TU0-14196 4,536,614 &larr; 4,537,594]	981	-
napFDAGHBC	napD // napC // napG // napH // napF // napB // napA	[napFDAGHBC 2,297,657 &larr; 2,303,497]	5841	-
napFDAGHBC-ccmABCDEFGH	napD // napC // napG // napH // napF // napB // napA // ccmA // ccmF // ccmB // ccmG // ccmC // ccmH // ccmE // ccmD	[napFDAGHBC-ccmABCDEFGH 2,291,358 &larr; 2,303,497]	12140	-
napFDAGHBC-ccmABCDEFGH	napD // napC // napG // napH // napF // napB // napA // ccmA // ccmF // ccmB // ccmG // ccmC // ccmH // ccmE // ccmD	[napFDAGHBC-ccmABCDEFGH 2,291,358 &larr; 2,303,497]	12140	-
narGHJI	narH // narG // narJ // narI	[narGHJI 1,279,864 &rarr; 1,286,526]	6663	+
narK	narK	[narK 1,277,957 &rarr; 1,279,348]	1392	+
narK	narK	[narK 1,277,957 &rarr; 1,279,348]	1392	+
narP	narP	[narP 2,290,500 &rarr; 2,291,147]	648	+
narQ	narQ	[narQ 2,585,731 &rarr; 2,587,431]	1701	+
narU	narU	[narU 1,542,672 &larr; 1,544,060]	1389	-
narU	narU	[narU 1,542,672 &larr; 1,544,060]	1389	-
