Gene_Names	Direction	Sequence - coordinates of DNA region
ybdM	-	[TU0-12992 634,747 &larr; 635,376]
ydiE	+	[TU0-13376 1,789,613 &rarr; 1,789,804]
mnmC	+	[trmC 2,441,764 &rarr; 2,443,770]
rcsB	+	[rcsB 2,316,177 &rarr; 2,316,827]
ygeQ	-	[TU0-13769 2,998,034 &larr; 2,998,828]
tldE	+	[tldE 4,457,959 &rarr; 4,459,311]
artM // artQ // artI // artP	-	[artPIQM 900,866 &larr; 903,734]
gcvR	+	[gcvR 2,599,906 &rarr; 2,600,478]
ybcK	+	[TU0-12973 568,902 &rarr; 570,428]
hokE	+	[hokE 607,836 &rarr; 607,988]
ydhC	+	[TU0-13360 1,739,911 &rarr; 1,741,122]
hdfR	-	[hdfR 3,947,128 &larr; 3,947,967]
aas // lplT	-	[TU0-13751 2,972,669 &larr; 2,976,014]
orn	+	[TU0-14151 4,391,604 &rarr; 4,392,149]
yhbS // ubiT	-	[ubiT-yhbS 3,300,255 &larr; 3,301,276]
cbpM // cbpA	-	[cbpA-cbpM 1,062,550 &larr; 1,063,775]
qmcA // ybbJ	-	[qmcA-ybbJ 514,401 &larr; 515,773]
ybjP	-	[ybjP 903,952 &larr; 904,467]
mdtJ // mdtI	-	[mdtJI 1,672,820 &larr; 1,673,501]
dld	+	[dld 2,222,185 &rarr; 2,223,900]
rlmD	-	[rlmD 2,913,699 &larr; 2,915,000]
thyA // lgt	-	[lgt-thyA 2,964,361 &larr; 2,966,037]
yjdM	-	[TU0-14132 4,326,399 &larr; 4,326,734]
queA	+	[queA 425,011 &rarr; 426,081]
sbmC	-	[sbmC 2,080,789 &larr; 2,081,262]
sucB // sucA	+	[sucAB 758,706 &rarr; 762,739]
mdlB // mdlA	+	[TU0-12937 468,871 &rarr; 472,417]
fbaA // pgk	-	[pgk-fbaA 3,070,165 &larr; 3,072,622]
ydfV	+	[TU0-13326 1,645,897 &rarr; 1,646,202]
adeD	+	[ade 3,843,964 &rarr; 3,845,730]
pncC	-	[pncC 2,823,849 &larr; 2,824,346]
ftsH // rlmE	-	[rlmE-ftsH 3,325,001 &larr; 3,327,664]
yjbJ	+	[TU0-14116 4,259,237 &rarr; 4,259,446]
torR	-	[torR 1,057,262 &larr; 1,057,954]
glxK // ybbY	+	[ybbY-glxK 540,565 &rarr; 543,033]
gapA	+	[gapA 1,862,771 &rarr; 1,863,766]
sbcD // sbcC	-	[sbcDC 412,607 &larr; 416,952]
nagA	-	[nagA 701,603 &larr; 702,751]
ydeI	-	[TU0-13309 1,624,105 &larr; 1,624,497]
ygeV	-	[ygeV 3,004,008 &larr; 3,005,786]
ypjF // yfjZ // ypjJ // yfjY // yfjX	+	[TU0-13699 2,775,919 &rarr; 2,777,782]
tpke11 // dnaK // dnaJ	+	[dnaKJ 12,163 &rarr; 15,298]
yijO	-	[TU0-14093 4,147,466 &larr; 4,148,317]
proX // proW // proV	+	[proVWX 2,804,815 &rarr; 2,808,124]
hflC // hflK // hflX // hfq	+	[hfq-hflXKC 4,400,288 &rarr; 4,404,304]
azoR	-	[azoR 1,482,255 &larr; 1,482,860]
mhpT	+	[mhpT 375,459 &rarr; 376,670]
allE // allC // allD	-	[allDC-ylbA 543,261 &larr; 546,363]
ydeQ	-	[ydeQ 1,586,820 &larr; 1,587,734]
yfbN	-	[yfbN 2,387,710 &larr; 2,388,426]
ypjD	+	[TU0-13681 2,747,962 &rarr; 2,748,753]
baeS // baeR	+	[baeSR 2,162,876 &rarr; 2,164,998]
yiiF	+	[TU0-14072 4,079,751 &rarr; 4,079,969]
rpmF // yceD	+	[yceD-rpmF 1,146,794 &rarr; 1,147,540]
ydeO // safA	-	[safA-ydeO 1,582,926 &larr; 1,583,959]
ubiJ // ubiB // ubiE	+	[TU0-42342 4,018,855 &rarr; 4,021,866]
insF1 // insE1 // insEF1 // eaeH	+	[TU0-12882 314,357 &rarr; 316,453]
mntH	-	[mntH 2,511,468 &larr; 2,512,706]
ydcD // rhsE	+	[TU0-13276 1,527,890 &rarr; 1,530,404]
yecF	+	[yecF 1,995,818 &rarr; 1,996,042]
yphC // yphB	-	[TU0-13662 2,673,816 &larr; 2,675,761]
gntU // gntK	-	[gntKU 3,575,721 &larr; 3,577,592]
fre	+	[fre 4,026,527 &rarr; 4,027,228]
xthA	+	[xthA 1,832,428 &rarr; 1,833,234]
lacA // lacY	-	[lacYA 361,249 &larr; 363,179]
lpxD	+	[lpxD 200,971 &rarr; 201,996]
yagA // yagB // insX	-	[TU0-12866 280,114 &larr; 281,983]
yzfA	-	[yzfA 4,447,976 &larr; 4,448,245]
ydcH	+	[TU0-13260 1,498,651 &rarr; 1,498,875]
ydbK	-	[ydbK 1,437,260 &larr; 1,440,784]
hda	-	[hda 2,618,075 &larr; 2,618,776]
soxS	-	[soxS 4,277,060 &larr; 4,277,383]
rffM // wzyE // wecF // wzxE // wecE // rffC // rffH // rffG // wecC // wecB // wzzE // rfe	+	[rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM 3,967,916 &rarr; 3,980,696]
hupB	+	[hupB 461,451 &rarr; 461,723]
yajO	-	[yajO 437,161 &larr; 438,135]
purU	-	[TU0-41711 1,287,782 &larr; 1,288,624]
yafL	+	[TU0-12850 246,712 &rarr; 247,461]
carB	+	[carB 30,817 &rarr; 34,038]
ydbA	+	[TU0-13244 NIL &rarr; NIL]
dgcT	+	[ycdT 1,092,876 &rarr; 1,094,234]
intZ	+	[TU0-13628 2,558,858 &rarr; 2,560,066]
pncB	-	[pncB 989,154 &larr; 990,356]
mnmE	+	[TU0-14021 3,886,828 &rarr; 3,888,192]
paaZ	-	[paaZ 1,451,597 &larr; 1,453,642]
creC // creB // creA	+	[creABC 4,635,521 &rarr; 4,638,120]
fepC // fepG // fepD	-	[fepDGC 619,384 &larr; 622,189]
yaeP // rof	-	[yaeP-rof 213,678 &larr; 214,125]
pnp	-	[pnp 3,309,033 &larr; 3,311,168]
kilR // ydaE	-	[TU0-13228 1,417,838 &larr; 1,418,229]
ytfB	-	[ytfB 4,428,079 &larr; 4,428,717]
tpke70	-	[TU0-13611 2,496,194 &larr; 2,496,629]
leuD // leuC // leuB // leuA // leuL	-	[leuLABCD 78,848 &larr; 83,708]
yicH	+	[yicH 3,830,457 &rarr; 3,832,166]
arcA	-	[arcA 4,639,590 &larr; 4,640,306]
lon // clpX	+	[clpX-lon 457,426 &rarr; 461,242]
lptB // lptA	+	[lptAB 3,343,380 &rarr; 3,344,669]
yadI	+	[TU0-12816 144,577 &rarr; 145,017]
speB	-	[speB 3,082,877 &larr; 3,083,797]
puuE // puuB // puuC	+	[puuCBE 1,362,743 &rarr; 1,366,815]
yoaI	-	[yoaI 1,874,078 &larr; 1,874,182]
yfcU // yfcS // yfcR // yfcQ // yfcP // yfcO	-	[TU0-13594 2,449,228 &larr; 2,455,001]
entD // fepA	-	[fepA-entD 609,459 &larr; 612,494]
yibG	+	[TU0-13991 3,768,177 &rarr; 3,768,638]
ampC	-	[ampC 4,377,811 &larr; 4,378,944]
ohsC	+	[ohsC 2,700,520 &rarr; 2,700,596]
folK // pcnB	-	[pcnB-folk 157,253 &larr; 159,126]
yaaU	+	[yaaU 45,807 &rarr; 47,138]
lysC	-	[lysC 4,231,884 &larr; 4,233,233]
yciA	-	[TU0-13189 1,311,848 &larr; 1,312,246]
yjjX	-	[yjjX 4,633,233 &larr; 4,633,745]
yfbP	+	[TU0-13578 2,389,116 &rarr; 2,389,964]
nupC	+	[nupC 2,513,042 &rarr; 2,514,244]
yhjV	+	[TU0-13974 3,700,563 &rarr; 3,701,834]
putP	+	[putP 1,079,305 &rarr; 1,080,813]
dapB	+	[dapB 28,374 &rarr; 29,195]
sixA	-	[sixA 2,456,327 &larr; 2,456,812]
efp	+	[efp 4,375,699 &rarr; 4,376,265]
cysE	-	[cysE 3,781,741 &larr; 3,782,562]
ycgN	+	[TU0-13171 1,228,815 &rarr; 1,229,276]
yjfP	+	[yjfP 4,416,952 &rarr; 4,417,701]
atoC // atoS	+	[TU0-13562 2,320,043 &rarr; 2,323,251]
uhpT	-	[uhpT 3,845,776 &larr; 3,847,167]
yhiL	-	[yhiL 3,632,852 &larr; 3,634,458]
serU	-	[serU 2,043,468 &larr; 2,043,557]
gspB // gspA	-	[gspAB 3,453,508 &larr; 3,455,398]
infC	-	[infC 1,800,096 &larr; 1,800,638]
rrfB // rrlB // gltT // rrsB	+	[rrsB-gltT-rrlB-rrfB 4,166,659 &rarr; 4,171,756]
pfkB	+	[pfkB 1,806,370 &rarr; 1,807,299]
icdC	+	[TU0-13155 1,211,413 &rarr; 1,211,577]
yidI	+	[yidI 3,856,415 &rarr; 3,856,864]
psuK // psuG	-	[TU0-13546 2,257,429 &larr; 2,259,296]
atoB // atoD // atoA // atoE	+	[atoDAEB 2,323,447 &rarr; 2,327,293]
yhhX	-	[TU0-13937 3,579,768 &larr; 3,580,805]
asnT	+	[asnT 2,044,549 &rarr; 2,044,624]
dfp	+	[dfp 3,812,731 &rarr; 3,813,951]
cpxA // cpxR	-	[cpxRA 4,103,602 &larr; 4,105,670]
astE // astB // astD // astA // astC	-	[astCADBE 1,825,955 &larr; 1,831,982]
dcuA // aspA	-	[aspA-dcuA 4,365,472 &larr; 4,368,327]
ycfJ	+	[TU0-13137 1,167,599 &rarr; 1,168,138]
yhdH	+	[yhdH 3,403,484 &rarr; 3,404,458]
mlrA	+	[mlrA 2,214,866 &rarr; 2,215,597]
appX // appC // appB // appA	+	[appCBA-yccB 1,037,740 &rarr; 1,041,915]
prkB	+	[prkB 3,484,490 &rarr; 3,485,359]
ptsH // ptsI // crr	+	[ptsHI-crr 2,533,764 &rarr; 2,536,343]
cdsA // uppS	+	[uppS-cdsA 194,903 &rarr; 196,534]
topA	+	[topA 1,331,048 &rarr; 1,333,645]
rutR	+	[rutR 1,074,242 &rarr; 1,074,880]
mcrC // mcrB	-	[mcrBC 4,576,912 &larr; 4,579,337]
ycdZ	+	[ycdZ 1,100,296 &rarr; 1,100,787]
ybeQ	-	[ybeQ 675,570 &larr; 676,547]
yegX	-	[TU0-13511 2,182,833 &larr; 2,183,651]
ilvI // ilvH	+	[ilvIH 85,630 &rarr; 87,848]
tldD	-	[TU0-13902 3,390,583 &larr; 3,392,028]
ppiA	-	[ppiA 3,491,725 &larr; 3,492,297]
glrR	-	[yfhA 2,687,469 &larr; 2,688,803]
ybjN // rimK // nfsA // ybjC	+	[ybjC-nfsA-rimK-ybjN 890,913 &rarr; 893,433]
qseC // qseB	+	[qseBC 3,169,828 &rarr; 3,171,833]
malZ	+	[malZ 422,518 &rarr; 424,332]
yccA	-	[yccA 1,030,759 &larr; 1,031,418]
yafV	-	[yafV 239,419 &larr; 240,189]
yefM // yoeB	-	[yefM-yoeB 2,089,211 &larr; 2,089,713]
ssb	+	[ssb 4,274,125 &rarr; 4,274,661]
sfsB	+	[sfsB 3,334,909 &rarr; 3,335,187]
clpA	+	[clpA 923,264 &rarr; 925,540]
glgP // glgA // glgC // glgX // glgB	-	[glgBXCAP 3,564,134 &larr; 3,573,502]
cusA // cusB // cusF // cusC	+	[cusCFBA 595,600 &rarr; 601,857]
uidR	-	[uidR 1,696,462 &larr; 1,697,052]
kdsB // ycaR	+	[ycaR-kdsB 970,673 &rarr; 971,598]
thiI	+	[thiI 441,549 &rarr; 442,997]
yeeO	-	[TU0-13477 2,058,203 &larr; 2,059,846]
ompC	-	[ompC 2,311,646 &larr; 2,312,749]
tdcR	+	[TU0-13870 3,267,380 &rarr; 3,267,598]
trmA	-	[trmA 4,162,170 &larr; 4,163,270]
fliT // fliS // fliD	+	[fliDST 2,003,872 &rarr; 2,006,078]
cspA	+	[cspA 3,720,049 &rarr; 3,720,261]
gapA	+	[gapA 1,862,771 &rarr; 1,863,766]
rlmC // ybjO	+	[TU0-13072 897,989 &rarr; 899,645]
slyA	-	[slyA 1,720,390 &larr; 1,720,824]
ilvY	-	[ilvY 3,956,927 &larr; 3,957,820]
fadH	+	[fadH 3,231,665 &rarr; 3,233,683]
fimB	+	[fimB 4,540,957 &rarr; 4,541,559]
bolA	+	[bolA 454,472 &rarr; 454,789]
fbaA // pgk	-	[pgk-fbaA 3,070,165 &larr; 3,072,622]
lacA // lacY // lacZ	-	[lacZYA 361,249 &larr; 366,305]
mcbA	-	[mcbA 841,796 &larr; 842,056]
purT	+	[purT 1,930,881 &rarr; 1,932,059]
yecE // yecD	+	[TU0-13442 1,950,832 &rarr; 1,952,213]
deoC // deoA // deoB // deoD	+	[deoCABD 4,617,323 &rarr; 4,621,602]
mdaB	+	[TU0-13835 3,172,530 &rarr; 3,173,111]
treA	-	[treA 1,245,679 &larr; 1,247,376]
C0719	+	[TU0-14234 3,121,358 &rarr; 3,121,579]
acrD	+	[acrD 2,587,595 &rarr; 2,590,708]
cdaR	+	[cdaR 182,463 &rarr; 183,620]
ybgS	-	[TU0-13039 784,937 &larr; 785,317]
cysS	+	[cysS 554,611 &rarr; 555,996]
msrC	-	[TU0-13426 1,915,631 &larr; 1,916,128]
aceB // aceA // aceK	+	[aceBAK 4,215,478 &rarr; 4,220,332]
gss	-	[gss 3,136,663 &larr; 3,138,522]
pflB	-	[pflB 951,272 &larr; 953,554]
ytjA	+	[TU0-14218 4,612,128 &rarr; 4,612,289]
dgcN // yfiR	+	[yfiRN 2,741,875 &rarr; 2,743,609]
ymgC // ariR // ymgA // ycgZ	+	[ycgZ-ymgA-ariR-ymgC 1,215,789 &rarr; 1,216,996]
rseD // rseC // rseB // rseA // rpoE	-	[rpoE-rseABC 2,707,322 &larr; 2,710,164]
bcsC // bcsZ // bcsB // bcsA	-	[bcsABZC 3,685,700 &larr; 3,695,236]
ybfF	-	[TU0-13023 712,038 &larr; 712,802]
yeaR // yoaG	-	[yeaR-yoaG 1,879,403 &larr; 1,879,948]
trpS	-	[trpS 3,512,634 &larr; 3,513,638]
speFL // potE // speF	-	[speF-potE 716,946 &larr; 720,822]
cmtB // cmtA // yggP // yggF // fumE // yggC	-	[TU0-13801 3,073,976 &larr; 3,079,330]
hypT	-	[TU0-14198 4,557,378 &larr; 4,558,289]
uvrB	+	[uvrB 813,526 &rarr; 815,547]
panD	-	[panD 146,314 &larr; 146,694]
fhlA // hypE // hypD // hypC // hypB	+	[hypBCDE-fhlA 2,851,001 &rarr; 2,856,416]
ybeF	-	[TU0-13005 660,425 &larr; 661,378]
ynjI	-	[ynjI 1,843,831 &larr; 1,844,871]
insH9	+	[insH-9 3,130,214 &rarr; 3,131,194]
rseC // rseB // rseA // rpoE	-	[rpoE-rseABC 2,707,322 &larr; 2,710,012]
ghxQ // guaD // xanQ	+	[TU0-13783 3,024,351 &rarr; 3,028,488]
yjgW	+	[TU0-14180 4,499,599 &rarr; 4,499,934]
rph	-	[rph 3,815,863 &larr; 3,816,549]
grcA	-	[grcA 2,716,066 &larr; 2,716,449]
nfeF	-	[nfeF 3,215,727 &larr; 3,216,491]
ybdK	-	[TU0-12989 606,265 &larr; 607,383]
aroD // ydiB // ydiN	+	[TU0-13373 1,772,512 &rarr; 1,775,444]
mug	-	[mug 3,214,967 &larr; 3,215,473]
lysS // prfB	-	[prfB-lysS 3,033,657 &larr; 3,036,282]
ygeL // ygeK	-	[TU0-13766 2,994,460 &larr; 2,995,092]
ytfL	-	[TU0-14164 4,439,872 &larr; 4,441,215]
ydhT // ydhU // ydhX // ydhW // ydhV // ydhY	-	[ydhYVWXUT 1,748,747 &larr; 1,754,477]
feaB	+	[feaB 1,447,519 &rarr; 1,449,018]
peaD	+	[TU0-12970 566,376 &rarr; 566,687]
dinQ	-	[dinQ 3,647,705 &larr; 3,647,788]
ydhF	-	[TU0-13357 1,724,736 &larr; 1,725,632]
grxD	-	[grxD 1,733,754 &larr; 1,734,101]
ygdQ	+	[TU0-13748 2,970,420 &rarr; 2,971,133]
rpoS // nlpD	-	[nlpD-rpoS 2,866,559 &larr; 2,868,753]
yjeM	+	[TU0-14147 4,383,839 &rarr; 4,385,341]
rpoS	-	[rpoS 2,866,559 &larr; 2,867,551]
leuE	-	[leuE 1,880,121 &larr; 1,880,759]
ybaL	-	[ybaL 501,562 &larr; 503,238]
artJ	-	[artJ 899,844 &larr; 900,575]
ynfL	-	[TU0-13340 1,668,699 &larr; 1,669,592]
dacC	+	[dacC 880,727 &rarr; 881,929]
ygcU	-	[TU0-13731 2,897,964 &larr; 2,899,418]
ribF // ileS // lspA // fkpB // ispH	+	[ribF-ileS-lspA-fkpB-ispH 21,407 &rarr; 27,227]
yjcS	-	[yjcS 4,304,612 &larr; 4,306,597]
phoH	+	[phoH 1,084,992 &rarr; 1,086,056]
aspS	-	[aspS 1,948,750 &larr; 1,950,522]
ssrA	+	[ssrA 2,755,593 &rarr; 2,755,955]
ybaE	-	[TU0-12934 465,612 &larr; 467,312]
acrD	+	[acrD 2,587,595 &rarr; 2,590,708]
rem	-	[TU0-13323 1,644,651 &larr; 1,644,902]
omrB	-	[omrB 2,976,304 &larr; 2,976,385]
gshA	-	[TU0-13714 2,814,883 &larr; 2,816,439]
fliD // fliS // fliT	+	[fliDST 2,003,872 &rarr; 2,006,078]
xylE	-	[xylE 4,240,779 &larr; 4,242,254]
ynfK // mlc	-	[mlc-ynfK 1,666,524 &larr; 1,668,564]
iraP	+	[iraP 401,386 &rarr; 401,646]
leuD // leuC // leuB // leuA // leuL	-	[leuLABCD 78,848 &larr; 83,708]
yaiI	+	[TU0-12914 405,764 &rarr; 406,222]
slyB	+	[slyB 1,719,876 &rarr; 1,720,343]
yneK	+	[TU0-13306 1,615,763 &rarr; 1,616,878]
alaE	+	[alaE 2,799,164 &rarr; 2,799,613]
yfjU	-	[TU0-13696 2,771,840 &larr; 2,772,154]
vsr // dcm	-	[dcm-vsr 2,030,448 &larr; 2,032,317]
yijF	-	[TU0-14090 4,137,040 &larr; 4,137,657]
nikR	+	[nikR 3,618,588 &rarr; 3,618,989]
hflC // hflK // hflX // hfq // miaA // mutL	+	[mutL-miaA-hfq-hflXKC 4,397,412 &rarr; 4,404,304]
csrA	-	[csrA 2,818,961 &larr; 2,819,146]
yahK	+	[TU0-12895 342,884 &rarr; 343,933]
allA	+	[allA 532,451 &rarr; 532,933]
yddA // yddB	-	[TU0-13290 1,575,247 &larr; 1,579,342]
yfaL	-	[yfaL 2,340,417 &larr; 2,344,169]
yfiL	+	[TU0-13678 2,741,360 &rarr; 2,741,725]
ascF // ascB	+	[ascFB 2,839,524 &rarr; 2,842,414]
csqR // yihV	+	[yihV-csqR 4,073,739 &rarr; 4,075,454]
amtB // glnK	+	[glnK-amtB 472,598 &rarr; 474,252]
deoD // deoB // deoA	+	[deoA 4,618,229 &rarr; 4,621,602]
bamD	+	[bamD 2,736,146 &rarr; 2,736,883]
ecpA	-	[ecpA 310,084 &larr; 310,671]
yrdB // aroE // tsaC // yrdD	-	[yrdD-rimN-aroE-yrdB 3,429,766 &larr; 3,431,962]
mcbR	+	[TU0-13273 1,520,262 &rarr; 1,520,927]
nimR	-	[yeaM 1,874,755 &larr; 1,875,576]
yfhR	+	[TU0-13659 2,664,390 &rarr; 2,665,244]
tdh // kbl	-	[kbl-tdh 3,790,320 &larr; 3,792,551]
tatD // tatC // tatB // tatA	+	[tatABC 4,021,945 &rarr; 4,024,336]
ilvX // ilvG // ilvA // ilvD // ilvE // ilvM // ilvL	+	[ilvLXG_1G_2MEDA 3,950,322 &rarr; 3,956,875]
dhaM	-	[dhaM 1,247,696 &larr; 1,249,114]
waaL // waaC // waaF // rfaD	+	[rfaDFCL 3,793,987 &rarr; 3,798,207]
ykfC	+	[TU0-12863 272,847 &rarr; 273,992]
srlR	+	[srlR 2,829,047 &rarr; 2,829,820]
sokB	+	[sokB 1,492,119 &rarr; 1,492,174]
smrA	+	[ydaL 1,405,979 &rarr; 1,406,542]
ypfN // dapE // yffB	+	[yffB-dapE-ypfN 2,591,247 &rarr; 2,592,962]
rhaT	-	[rhaT 4,099,491 &larr; 4,100,525]
yifN	-	[TU0-14035 3,960,012 &larr; 3,960,460]
acpS // pdxJ // recO // era // rnc	-	[rnc-era-recO-pdxJ-acpS 2,700,618 &larr; 2,704,063]
yacG	-	[yacG 111,649 &larr; 111,846]
yceI	-	[TU0-41656 1,117,901 &larr; 1,118,476]
yafJ	+	[TU0-12847 244,327 &rarr; 245,094]
ilvH // ilvI	+	[ilvIH 85,630 &rarr; 87,848]
hslJ	-	[hslJ 1,441,321 &larr; 1,441,743]
sxy	+	[yccR 1,021,138 &rarr; 1,021,767]
yfeW // murP // murQ	+	[TU0-13625 2,545,773 &rarr; 2,549,406]
glyA	-	[glyA 2,684,254 &larr; 2,685,507]
yidA	-	[TU0-14019 3,876,140 &larr; 3,876,952]
phr	+	[phr 739,507 &rarr; 740,925]
yciH // pyrF // lapB // lapA	+	[yciSM-pyrF-yciH 1,340,243 &rarr; 1,342,984]
proP	+	[proP 4,330,502 &rarr; 4,332,004]
cdsA // uppS // dxr	+	[dxr-uppS-cdsA 193,521 &rarr; 196,534]
ilvA	+	[ilvA 3,955,331 &rarr; 3,956,875]
ttcA	-	[TU0-13225 1,411,013 &larr; 1,411,948]
yrdA	+	[yrdA 3,429,236 &rarr; 3,429,790]
yfdE	-	[TU0-13608 2,488,023 &larr; 2,489,168]
dps	-	[dps 848,408 &larr; 848,911]
yicG	+	[TU0-14003 3,818,874 &rarr; 3,819,491]
pnp // rpsO // truB // rbfA // infB // nusA // rimP // metY	-	[metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp 3,309,033 &larr; 3,318,289]
hcr // hcp	-	[hcp-hcr 911,182 &larr; 913,814]
lptB // lptA // lptC // kdsC // kdsD // yrbG	+	[yrbG-kdsDC-lptCAB 3,340,275 &rarr; 3,344,669]
nadC	-	[nadC 117,752 &larr; 118,645]
ppiD	+	[ppiD 461,915 &rarr; 463,786]
ymjA	-	[TU0-13207 1,357,423 &larr; 1,357,668]
yoaE	-	[yoaE 1,900,029 &larr; 1,901,585]
folC // dedD	-	[TU0-13591 2,431,022 &larr; 2,432,942]
aspA	-	[aspA 4,366,891 &larr; 4,368,327]
yibF	-	[yibF 3,761,347 &larr; 3,761,955]
cpoB // pal // tolB	+	[tolB-pal-ybgF 777,740 &rarr; 780,389]
hchA	+	[hchA 2,035,835 &rarr; 2,036,686]
cbrC // cbrB	+	[cbrBC 3,897,506 &rarr; 3,898,609]
sokC	+	[TU0-12795 16,952 &rarr; 17,006]
ung	+	[ung 2,716,754 &rarr; 2,717,443]
insZ	-	[TU0-13184 1,294,426 &larr; 1,295,322]
yjiR	-	[yjiR 4,570,162 &larr; 4,571,574]
yfbL	+	[TU0-13575 2,385,860 &rarr; 2,386,831]
cynR	-	[cynR 357,791 &larr; 358,690]
pdeK	-	[TU0-13971 3,683,630 &larr; 3,685,618]
pykF	+	[pykF 1,755,698 &rarr; 1,757,110]
ispH // fkpB // lspA // ileS	+	[ileS-lspA-fkpB-ispH 22,391 &rarr; 27,227]
sdsR // pphA	-	[sdsR-pphA 1,922,313 &larr; 1,923,207]
recF // dnaN	-	[dnaN-recF 3,880,148 &larr; 3,882,321]
blc	-	[blc 4,377,189 &larr; 4,377,722]
ycgI	+	[TU0-13168 1,223,564 &rarr; 1,223,907]
pdeC	+	[yjcC 4,275,471 &rarr; 4,277,057]
mqo	-	[TU0-13559 2,305,108 &larr; 2,306,754]
ebgA // ebgC	+	[ebgAC 3,222,633 &rarr; 3,226,171]
yhiI // rbbA // yhhJ	-	[TU0-13952 3,625,679 &larr; 3,630,602]
serX	-	[serX 1,097,565 &larr; 1,097,652]
gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC	+	[gspCDEFGHIJKLMO 3,455,578 &rarr; 3,466,220]
fldB	+	[fldB 3,039,855 &rarr; 3,040,376]
grcA	-	[grcA 2,716,066 &larr; 2,716,449]
lysP	-	[lysP 2,247,063 &larr; 2,248,532]
stfE // tfaE	-	[TU0-13152 1,208,517 &larr; 1,209,655]
yiaU	+	[yiaU 3,751,992 &rarr; 3,752,966]
yeiH	+	[TU0-13542 2,249,717 &rarr; 2,250,766]
argD	-	[argD 3,488,960 &larr; 3,490,180]
yzgL	-	[TU0-13934 3,563,724 &larr; 3,564,005]
proL	+	[proL 2,286,211 &rarr; 2,286,287]
ogrK	-	[ogrK 2,167,302 &larr; 2,167,520]
metJ	-	[metJ 4,128,078 &larr; 4,128,395]
fabG // fabD // fabH // plsX // rpmF	+	[rpmF-plsX-fabHDG 1,147,367 &rarr; 1,151,404]
ugpQ // ugpC // ugpE // ugpA // ugpB	-	[ugpBAECQ 3,587,370 &larr; 3,592,325]
rluC	+	[TU0-13134 1,144,940 &rarr; 1,145,899]
yhbP	-	[yhbP 3,299,472 &larr; 3,299,915]
yehR	+	[yehR 2,211,225 &rarr; 2,211,686]
purA	+	[purA 4,404,687 &rarr; 4,405,985]
slyD	-	[TU0-13917 3,477,907 &larr; 3,478,497]
yhfA	-	[yhfA 3,485,414 &larr; 3,485,818]
ispG // sroE	-	[ispG-sroE 2,640,595 &larr; 2,641,804]
topA	+	[topA 1,331,048 &rarr; 1,333,645]
yieF // yieE	+	[yieEF 3,893,881 &rarr; 3,895,218]
mltC // yggX	+	[yggX-mltC 3,104,093 &rarr; 3,105,512]
ycdU // ymdE	+	[TU0-13118 1,095,544 &rarr; 1,096,829]
hcxA	-	[ybdH 632,389 &larr; 633,477]
insF5 // insE5 // insEF5	+	[TU0-13507 2,170,236 &rarr; 2,171,398]
cysH // cysI // cysJ	-	[cysJIH 2,887,578 &larr; 2,891,898]
yhcN	+	[TU0-13899 3,385,538 &rarr; 3,385,801]
appA	+	[appA 1,040,617 &rarr; 1,041,915]
wbbK // wbbJ // wbbI	-	[wbbIJK 2,103,391 &larr; 2,106,057]
gcd	-	[gcd 138,835 &larr; 141,225]
bamD	+	[bamD 2,736,146 &rarr; 2,736,883]
fadJ // fadI	-	[fadIJ 2,457,015 &larr; 2,460,469]
hspQ	-	[hspQ 1,028,404 &larr; 1,028,721]
yafF	+	[yafF 239,190 &rarr; 239,378]
plaP	-	[TU0-13490 2,085,704 &larr; 2,087,062]
recA	-	[recA 2,822,708 &larr; 2,823,769]
folP // glmM	-	[folP-glmM 3,322,733 &larr; 3,324,911]
ubiX // purF // cvpA	-	[cvpA-purF-ubiX 2,428,057 &larr; 2,430,763]
nhaR	+	[nhaR 18,715 &rarr; 19,620]
pspF	-	[pspF 1,366,935 &larr; 1,367,912]
metA	+	[metA 4,214,280 &rarr; 4,215,209]
ycaP	+	[TU0-13085 956,762 &rarr; 957,454]
sseA	+	[sseA 2,652,494 &rarr; 2,653,339]
yeeJ	+	[TU0-13472 2,044,938 &rarr; 2,052,014]
nirB // nirD // nirC // cysG	+	[nirBDC-cysG 3,494,011 &rarr; 3,499,201]
yhaI	+	[TU0-13867 3,252,911 &rarr; 3,253,267]
rpoH	-	[rpoH 3,599,929 &larr; 3,600,783]
smg	-	[smg 3,431,991 &larr; 3,432,464]
ycgR	-	[ycgR 1,243,793 &larr; 1,244,527]
yeaD // gapA	+	[gapA-yeaD 1,862,771 &rarr; 1,864,734]
ybjJ // ybjI	-	[TU0-13069 885,316 &larr; 887,339]
ryeA	+	[ryeA 1,923,066 &rarr; 1,923,337]
yedK	+	[TU0-13456 2,009,821 &rarr; 2,010,489]
glpA // glpB // glpC	+	[glpABC 2,352,647 &rarr; 2,356,711]
ebgR	+	[ebgR 3,221,466 &rarr; 3,222,449]
fimB	+	[fimB 4,540,957 &rarr; 4,541,559]
ybdR	+	[TU0-14246 642,088 &rarr; 643,326]
pgk	-	[pgk 3,071,459 &larr; 3,072,622]
idnK	+	[idnK 4,494,623 &rarr; 4,495,186]
